╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
411s       309057374      984650  309058688/0            5µs       0µs     69.96
412s       310082226     1024852  310082774/0            6µs       0µs     70.03
413s       311170541     1088315  311170745/0            5µs       0µs     70.11
414s       312230297     1059756  312230297/0            7µs       0µs     70.18
415s       313242296     1011999  313242707/0            5µs       0µs     70.24
416s       314168218      925922  314168440/0            5µs       0µs     70.28
417s       314991323      823105  314991899/0            7µs       0µs     70.30
418s       316007496     1016173  316008317/0           18µs       0µs     70.36
419s       316975970      968474  316976227/0            7µs       0µs     70.41
420s       317873147      897177  317873207/0           10µs       0µs     70.44
421s       318681376      808229  318681733/0            8µs       0µs     70.46
422s       319450622      769246  319450987/0            7µs       0µs     70.46
423s       320427947      977325  320427954/0            5µs       0µs     70.51
424s       321424986      997039  321425117/0            9µs       0µs     70.57
425s       322435029     1010043  322435575/0            5µs       0µs     70.63
426s       323373404      938375  323374085/0            6µs       0µs     70.67
427s       324281249      907845  324281249/0           11µs       0µs     70.71
428s       325259468      978219  325259538/0            9µs       0µs     70.76
429s       326292223     1032755  326293513/0            6µs       0µs     70.82
430s       327337672     1045449  327338138/0            4µs       0µs     70.88
431s       328218930      881258  328219005/0           18µs       0µs     70.91
432s       329202890      983960  329202890/0            5µs       0µs     70.96
433s       330234797     1031907  330235152/0            7µs       0µs     71.02
434s       331297585     1062788  331298039/0            8µs       0µs     71.09
435s       332266797      969212  332266887/0            4µs       0µs     71.14
436s       333241808      975011  333242659/0            8µs       0µs     71.19
437s       334074773      832965  334074773/0            5µs       0µs     71.20
438s       335101316     1026543  335101623/0            7µs       0µs     71.26
439s       336062214      960898  336062277/0           11µs       0µs     71.31
440s       337063288     1001074  337063380/0            5µs       0µs     71.36
441s       338031100      967812  338031768/0            5µs       0µs     71.41
442s       338964592      933492  338965056/0            5µs       0µs     71.44
443s       339926582      961990  339926864/0            5µs       0µs     71.49
444s       340969126     1042544  340969334/0            5µs       0µs     71.55
445s       341959689      990563  341960779/0            8µs       0µs     71.60
446s       342926908      967219  342928418/0            5µs       0µs     71.64
447s       343655311      728403  343656197/0            7µs       0µs     71.63
448s       344678513     1023202  344678547/0           10µs       0µs     71.69
449s       345668733      990220  345668761/0            5µs       0µs     71.74
450s       346669606     1000873  346670232/0            4µs       0µs     71.79
451s       347741662     1072056  347741861/0            5µs       0µs     71.85
452s       348524838      783176  348526347/0            5µs       0µs     71.86
453s       349570014     1045176  349571129/0            5µs       0µs     71.92
454s       350506635      936621  350507148/0            5µs       0µs     71.96
455s       351550975     1044340  351551222/0            4µs       0µs     72.01
456s       352513906      962931  352514428/0           10µs       0µs     72.06
457s       353280697      766791  353280697/0            4µs       0µs     72.06
458s       354275462      994765  354275470/0           10µs       0µs     72.10
459s       355098014      822552  355098141/0            9µs       0µs     72.12
460s       356008611      910597  356008973/0            5µs       0µs     72.15
461s       356933661      925050  356933980/0            4µs       0µs     72.18
462s       357873481      939820  357874148/0            6µs       0µs     72.21
463s       358842532      969051  358843454/0            4µs       0µs     72.26
464s       359718721      876189  359719282/0            7µs       0µs     72.28
